,index,0;1;2;3;4;Answer,Words
0,0.0,The dimensions of fall of potential per unit distance are given by:;(a) [MLT-3 A-1];(b) [ML2T-2A-1];(c) [ML2T-2A-3];(d) [MLT-2A-2];(c) [ML2T-2A-3],rr²
1,1.0,Which of the following is blocked by a capacitor ?;(a) A.C.;(b) D.C.;(c) Both A.C. and D.C.;(d) Neither A.C. nor D. C;(b) D.C.,battery
2,2.0,The capacitance of a capacitor will decrease if we introduce a slab of:;(a) copper;(b) aluminium;(c) zinc;(d) None of these;(d) None of these,practically
3,3.0,Two capacitors of capacitance 6 µF and 4 µF are put in series across a 120 V battery. What is the potential difference across the 4 µF capacitor ?;(a) 72 V;(b) 60 V;(c) 48 V;(d) zero;(a) 72 V,number
4,4.0,In which of the following forms is the energy stored in a capacitor?;(a) Charge;(b) Potential;(c) Capacitance;(d) Electric field;(d) Electric field,instantly
5,5.0,Two conducting spheres of radii r1 and r2 are equally charged. The ratio of their potential is;(a) (r1/r2)²;(b) (r1r2)²;(c)(r1/r2);(d) (r2/r1);(b) (r1r2)²,ratio
6,6.0,Twenty seven drops of mercury are charged simultaneously to the same potential of 10 volts. What will be potential if all the charged drops are made to combine to form one large drop ?;(a) 180 V;(b) 90 V;(c) 120 V;(d) 45 V;(b) 90 V,capacitor
7,7.0,The P.E. of an electric dipole is maximum when it makes an angle θ with electric field. The value of θ is :;(a) \(\frac{π}{2}\);(b) π;(c) zero;(d) \(\frac{3π}{2}\);(b) π,following
8,8.0,The amount of work required to increase the distance between -6µC and 4µC from 6 cm to 18 cm will be :;(a) 1.8 J;(b) 2.4 J;(c) 1.8 µJ;(d) 2.4 µJ;(b) 2.4 J,rubbed
9,9.0,An electron initially at rest is accelerated through a potential difference of one volt. The energy gained by electron is:;(a) 1 J;(b) 1.6 × 10-19 J;(c) 10-19 J;(d) None of these;(b) 1.6 × 10-19 J,capacitance
10,10.0,A bird sitting on a high power line:;(a) gets killed instantly;(b) gets a mild shock;(c) gets a fatal shock;(d) is not affected practically;(d) is not affected practically,infinity
11,11.0,Choose the SI unit of electric potential energy :;(a) Joule;(b) Coulomb;(c) Netwon per coulomb;(d) Erg;(a) Joule,initially
12,12.0,Minimum number of capacitor of 2µF each required to obtain a capacitance of 5µF will be:;(a) 4;(b) 3;(c) 5;(d) 6;(c) \(\frac{(K+1)}{2}\) C,one
13,13.0,When a dielectric slab is introduced between the plates of a parallel plate capacitor which remains connected to a battery then charge on the plates relative to earlier charge is :;(a) more;(b) less;(c) less or may be more;(d) same;(a) more,simultaneously
14,14.0,The surface density of charge is measure:;(a) Cm-1;(b) Cm-2;(c) Cm-3;(d) JC-1;(d) Electric intensity,per
15,15.0,A polythene piece rubbed with wool is found to have a negative charge of 6.4 × 10-9c. How many electrons have been transferred during the process?;(a) 4 × 1012;(b) 4 × 1011;(c) 4 × 1010;(d) None of these;(c) 4 × 1010,mild
16,16.0,In the above question:;(a) no electrons are transferred;(b) electrons are transferred from wool to x polythene;(c) electrons are transferred from polythene to wool;(d) nothing can be decided;(b) electrons are transferred from wool to x polythene,fatal
17,17.0,What is the number of electrons in 100 g water?;(a) 3.35 × 1024;(b) 3.35 × 1025;(c) 6.02 × 1023;(d) None of these;(a) 3.35 × 1024,rr²r/rd
18,18.0,A uniform electric field of 10 NC-1 exists in the vertically downward direction. What is the increase in the electric potential asonegoes up through a height of 300 cm ?;(a) 15 V;(b) 30 V;(c) 45V;(d) None of these;(b) 30 V,combine
19,19.0,The electric potential of earth is taken as:;(a) zero;(b) infinity;(c) unity;(d) None of these;(a) zero,conducting
20,,,forms
21,,,sitting
22,,,gained
23,,,seven
24,,,transferred
25,,,erg
26,,,coulomb
27,,,spheres
28,,,drops
29,,,relative
30,,,decided
31,,,netwon
32,,,stored
33,,,volts
34,,,unit
35,,,µc
36,,,nothing
37,,,dc
38,,,capacitors
39,,,increase
40,,,charged
41,,,r/r²
42,,,joule
43,,,blocked
44,,,process
45,,,density
46,,,value
47,,,rest
48,,,a]
49,,,r/r
50,,,put
51,,,plate
52,,,may
53,,,shock
54,,,wool
55,,,\\frac{π}{}\
56,,,line
57,,,[mlt
58,,,plates
59,,,exists
60,,,earth
61,,,found
62,,,question
63,,,neither
64,,,measure
65,,,volt
66,,,cm
67,,,bird
68,,,zinc
69,,,electron
70,,,negative
71,,,killed
72,,,\\frac{}{}\
73,,,unity
74,,,decrease
75,,,none
76,,,angle
77,,,amount
78,,,minimum
79,,,aluminium
80,,,difference
81,,,introduce
82,,,earlier
83,,,two
84,,,zero
85,,,[mlta]
86,,,made
87,,,intensity
88,,,equally
89,,,copper
90,,,electric
91,,,taken
92,,,work
93,,,charge
94,,,energy
95,,,downward
96,,,electrons
97,,,ac
98,,,slab
99,,,fall
100,,,uniform
101,,,field
102,,,choose
103,,,piece
104,,,µj
105,,,dipole
106,,,dielectric
107,,,affected
108,,,potential
109,,,jc
110,,,vertically
111,,,remains
112,,,nc
113,,,introduced
114,,,twenty
115,,,accelerated
116,,,connected
117,,,µf
118,,,gets
119,,,high
120,,,many
121,,,series
122,,,parallel
123,,,height
124,,,maximum
125,,,form
126,,,surface
127,,,polythene
128,,,large
129,,,mercury
130,,,drop
131,,,power
132,,,less
133,,,water
134,,,asonegoes
135,,,dimensions
136,,,given
137,,,distance
138,,,radii
139,,,obtain
140,,,across
141,,,pe
142,,,required
143,,,direction
144,,,makes
