,index,0,1,2,3,4,Answer,Words
0,0.0,The mass of a body which is equal to the ratio of the force acting on a body to the acceleration produced in the body is,(a) the gravitational mass,(b) the electromagnetic mass,(c) the internal mass,(d) the inertial mass,(d) the inertial mass,mass
1,1.0,A spherical ball of mass 10-6 kg hits a wall 1000 times per second normally with a velocity of 1000 m/s and rebounds with same velocity along the initial direction. The force experienced by the wall is,(a) 1 N,(b) 4 N,(c) 2 N,(d) 8 N,(c) 2 N,hit
2,2.0,The force required to produce an acceleration of 2 m/s² on a mass of 2 kg is,(a) 4 N,(b) 10 N,(c) 22 N,(d) 18 N,(a) 4 N,third
3,3.0,A machine gun fires a bullet of mass 40 g with a velocity of 1200 ms-1. The man holding it can exert a maximum force on 144 N on the gum. How many bullets can he fire per second at the most?,(a) one,(b) four,(c) two,(d) three,(d) three,direction
4,4.0,A passenger in a moving bus is thrown forward when the bus is suddenly stopped. This is explained,(a) by Newtons first law,(b) by Newtons second law,(c) by Newtons third law,(d) by the principle of conservation of momentum,(a) by Newtons first law,acted
5,5.0,"A passenger sitting in a bus moving at uniform speed, feels pushed backward whenever the bus is accelerated forward. This type of force is called",(a) Gravitational force,(b) real force,(c) fictitious force or pseudo force,(d) frictional force,(c) fictitious force or pseudo force,upon
6,6.0,A body of mass 5 kg is travelling with a uniform velocity of 2 m/s. Its momentum is,(a) 10 kg m/s,(b) 7 kg m/s,(c) 2 .5 kg m/s,(d) 3 kg m/s,(a) 10 kg m/s,overcomes
7,7.0,"Inside the nucleus, two protons are held together by a force which overcomes the repulsion. This force is called",(a) gravitational force,(b) electrostatic force,(c) weak force,(d) strong force,(d) strong force,developed
8,8.0,A block of wood is placed on a surface. A force is applied parallel to the surface to move the body. The frictional force developed acts,(a) normal to the surface upwards,(b) normal to the surface downwards,(c) along the direction of the applied force,(d) opposite to the direction of the applied force,(d) opposite to the direction of the applied force,act
9,9.0,A bullet of mass 25 g moving with a velocity of 200 cm/s is stopped within 5 cm of the target. The average resistance offered by the target is,(a) 1 N,(b) 2 N,(c) 3 N,(d) 4 N,(a) 1 N,together
10,10.0,The mass of a body is 2 kg. It weight is,(a) 19.6 N,(b) 20 N,(c) 30 N,(d) 40 N,(a) 19.6 N,fire
11,11.0,"A body is sliding down a rough inclined plane which makes an angle of 30 degree with the horizontal. If the coeffcient of friction is 0.26, the acceleration in m/s² is",(a) 1.95,(b) 2.78,(c) 3.47,(d) 4.6,(b) 2.78,static
