,index,0,1,2,3,4,Answer,Words
0,0.0,Which one of the following is the unit of electric field?,(a) Coulomb,(b) Newton,(c) Volt,(d) N/C,(d) N/C,zero
1,1.0,"Three charges + 3q + q and Q are placed on a st. line with equal separation. In order to maket the net force on q to be zero, the value of Q will be :",(a) +3q,(b) +2q,(c) -3q,(d) -4q,(a) +3q,
2,2.0,If an electric dipole is kept in a uniform electric field then resultant electric force on it is :,(a) always zero,(b) never zero,(c) depend upon capacity of dipole,(d) None,(a) always zero,semicircular
3,3.0,The number of electron-taken out from a body to produce 1 coulomb of charge will be :,(a) 6.25 × 1018,(b) 625 × 1018,(c) 6.023 × 1023,(d) None,(a) 6.25 × 1018,far
4,4.0,The work done in rotating an electric dipole in an electric field:,(a) W = ME (1 – cos θ),(b) W = ME tan θ,(c)W = ME sec θ,(d) None,(a) W = ME (1 – cos θ),upon
5,5.0,If sphere of bad conductor is given charge then it is distributed on:,(a) surface,(b) inside the surface,(c) only inside the surface,(d) None,(d) None,near
6,6.0,Electric field in a cavity of metal:,(a) depends upon the surroundings,(b) depends upon the size of cavity,(c) is always zero,(d) is not necessarily zero,(d) is not necessarily zero,neither
7,7.0,The dielectric constant of a metal is:,(a) 0,(b) 1,(c) ∞,(d) -1,(c) ∞,conserved
8,8.0,1 coulomb is equal to:,(a) 3 × 109 e.s.u.,(b) \(\frac{1}{3}\) × 109 e.s.u.,(c) 3 × 1010 e.s.u.,(d) \(\frac{1}{3}\) × 1010 e.s.u.,(a) 3 × 109 e.s.u.,negative
9,9.0,"Each of the two point charges are doubled and their distance is halved. Force of interaction becomes p times, w here p is :",(a) 1,(b) 4,(c) \(\frac{1}{16}\),(d) 16,(d) 16,kept
10,10.0,The dimensional representation of cu will be :,(a) [MLT4 A2],(b) [M-1L-3T4A2],(c)[ML-2T ],(d) None of these,(c) N-1m-2C9,induction
11,11.0,"When placed in a uniform field, a dipole experiences:",(a) a net force,(b) a torque,(c) both a net force and torque,(d) neither a net force nor a torque,(b) a torque,necessarily
12,12.0,A parrot comes and sits on a bare high power line. It will:,(a) experience a mild shock ‘,(b) experience a strong shock.,(c) get killed instantaneously,(d) not be affected practically,(d) not be affected practically,length
13,13.0,The SI units of electric dipole moment are:,(a) C,(b) Cm-1,(c) Cm,(d) Nm-1,(c) Cm,created
14,14.0,If two conducting sphere are connected after charging separately then:,(a) Electrostatic energy sphere energy will remain conserved,(b) Electrostatic energy charges remains conserved,(c) Electrostatic energy energy and charge remains conserved,(d) None,(b) Electrostatic energy charges remains conserved,charge
15,15.0,"A soap bubble is given a negative charge, then its radius:",(a) increases,(b) decreases,(c) remains unchanged,(d) may increase or decrease,(a) increases,becomes
16,16.0,"In non-uniform electric field, electric dipole experiences:",(a) torque only,(b) torque as well as net force,(c) force only,(d) None of these,(b) torque as well as net force,drawn
17,17.0,An electron is sent in an electric field of magnitude 9.1 × 106NC-1. The acceleration produced in it is :,(a) 1.6 ms-2,(b) 1.6 × 1018ms-2,(c) 3.2 × 1018ms-2,(d) 0.8 × 1018 ms-2,(b) 1.6 × 1018ms-2,uniformly
18,18.0,A semicircular arc of radius r is charged uniformly and the charge per unit length is λ. The electric field at the centre is:,(a) \(\frac{λ}{2λε_0r^2}\),(b) \(\frac{λ}{4πε_0r}\),(c) \(\frac{λ^2}{2πε_0r}\),(d) \(\frac{λ}{2πε_0r}\),(b) \(\frac{λ}{4πε_0r}\),opposite
19,19.0,"When a dipole of moment \(\vec{p} \) is placed in uniform electric field \(\vec{E} \), then the torque acting on the dipole is:",(a) \(\vec{τ} \) = \(\vec{p} \).\(\vec{E} \),(b) \(\vec{τ} \) = \(\vec{P} \) + \(\vec{E} \),(c) \(\vec{τ} \) = \(\vec{p} \) + \(\vec{E} \),(d ) \(\vec{τ} \) = \(\vec{p} \) – \(\vec{E} \),(c) \(\vec{τ} \) = \(\vec{p} \) + \(\vec{E} \),graph
20,20.0,"Two point charges +8q and -2q are located at ,v = O and ,v = L respectively. The location of a point on the .v-axis at which the net electric field due to these two point charges b is zero :",(a) 4L,(b) 8L,(c) L/4,(d) 2L,(d) 2L,dimensional
21,21.0,The graph drawn between V are r for a non-conducting charged solid sphere of radius R for r < R will be :,(a) straight line,(b) parabola,(c) hyperbola,(d) None of these,(d) None of these,remains
22,22.0,Corona discharge takes place:,(a) at the surface of a conductor,(b) near the sharp points of a conductor,(c) outside the conductor,(d) at the centre of the conductor,(b) near the sharp points of a conductor,mlt
23,23.0,The belt of a Vande Graaf generator gets charge by :,(a) corona discharge,(b) induction,(c) electrification,(d) None of these,(a) corona discharge,never
24,24.0,Quantisation of charge implies:,(a) Charge does not exist,(b) Charge exists on particles,(c) There is a minimum permissible magnitude of charge,(d) Charge can’t be created,(c) There is a minimum permissible magnitude of charge,one
25,25.0,The conservation of electric charge implies that:,(a) Charge can’t be created,(b) Charge can’t be destroyed,(c) The number of charged particle in the universe is constant,(d) Simultaneous creation of equal and opposite charges is permissible,(d) Simultaneous creation of equal and opposite charges is permissible,high
26,26.0,The number of electrons contained in one coulomb of charge is:,(a) 6.25 × 1018,(b) 6.25 × 1017,(c) 6.25 × 1019,(d) 1.6 × 1019,(a) 6.25 × 1018,centre
27,27.0,The unit of intensity of electric field is :,(a) metre/volt,(b) Joule/newton,(c) Coulomb/newton,(d) Newton/coulomb,(a) metre/volt,belt
28,28.0,1 V equals to:,(a) 1 J,(b) 1 JC-1,(c) 1 CJ-1,(d) 1 JC,(b) 1 JC-1,charged
29,29.0,1 V m-1 equals to:,(a) 1 N,(b) 1 Mm-1,(c) 1 NC-1,(d) 1 J-1,(c) 1 NC-1,take
30,30.0,The minimum amount of charge observed so far is:,(a) 1 C,(b) 4.8 × 1-13 C,(c) 1.6 × 10-19 C,(d) 1.6 × 1019 C,(c) 1.6 × 10-19 C,parrot
31,31.0,The ratio of electric force between two electrons to the gravitational force between them is of the order:,(a) 1042,(b) 1039,(c) 1036,(d) 1,(a) 1042,esu
32,,,,,,,,exists
33,,,,,,,,outside
34,,,,,,,,interaction
35,,,,,,,,size
36,,,,,,,,metal
37,,,,,,,,sits
38,,,,,,,,simultaneous
39,,,,,,,,unit
40,,,,,,,,affected
41,,,,,,,,destroyed
42,,,,,,,,killed
43,,,,,,,,uniform
45,,,,,,,,experience
46,,,,,,,,shock
47,,,,,,,,bad
48,,,,,,,,acceleration
49,,,,,,,,produce
50,,,,,,,,doubled
51,,,,,,,,work
53,,,,,,,,instantaneously
54,,,,,,,,net
55,,,,,,,,maket
56,,,,,,,,radius
57,,,,,,,,amount
58,,,,,,,,bare
59,,,,,,,,decrease
60,,,,,,,,electron
61,,,,,,,,surface
62,,,,,,,,come
63,,,,,,,,soap
64,,,,,,,,cavity
65,,,,,,,,newtoncoulomb
69,,,,,,,,charging
70,,,,,,,,halved
71,,,,,,,,distance
73,,,,,,,,contained
74,,,,,,,,moment
75,,,,,,,,minimum
76,,,,,,,,arc
77,,,,,,,,intensity
78,,,,,,,,nmc
79,,,,,,,,nonconducting
80,,,,,,,,two
81,,,,,,,,graaf
82,,,,,,,,joulenewton
83,,,,,,,,well
85,,,,,,,,get
87,,,,,,,,tan
89,,,,,,,,place
90,,,,,,,,acting
92,,,,,,,,exist
93,,,,,,,,time
94,,,,,,,,torque
95,,,,,,,,practically
96,,,,,,,,separation
97,,,,,,,,dipole
98,,,,,,,,universe
99,,,,,,,,per
100,,,,,,,,equal
102,,,,,,,,volt
103,,,,,,,,unchanged
104,,,,,,,,discharge
105,,,,,,,,capacity
106,,,,,,,,following
108,,,,,,,,resultant
109,,,,,,,,point
110,,,,,,,,particle
111,,,,,,,,coulombnewton
112,,,,,,,,connected
113,,,,,,,,depend
114,,,,,,,,order
116,,,,,,,,mild
117,,,,,,,,vaxis
118,,,,,,,,sharp
119,,,,,,,,conductor
120,,,,,,,,field
123,,,,,,,,cant
124,,,,,,,,electrification
125,,,,,,,,electric
126,,,,,,,,nonuniform
127,,,,,,,,magnitude
128,,,,,,,,always
129,,,,,,,,parabola
130,,,,,,,,energy
132,,,,,,,,newton
133,,,,,,,,produced
134,,,,,,,,increase
135,,,,,,,,force
136,,,,,,,,rotating
137,,,,,,,,bubble
138,,,,,,,,placed
139,,,,,,,,line
140,,,,,,,,done
141,,,,,,,,value
142,,,,,,,,respectively
143,,,,,,,,conservation
144,,,,,,,,implies
145,,,,,,,,vande
146,,,,,,,,body
147,,,,,,,,ratio
148,,,,,,,,power
149,,,,,,,,separately
150,,,,,,,,permissible
151,,,,,,,,corona
152,,,,,,,,sent
153,,,,,,,,generator
155,,,,,,,,distributed
156,,,,,,,,number
157,,,,,,,,given
158,,,,,,,,observed
160,,,,,,,,none
161,,,,,,,,sec
162,,,,,,,,constant
163,,,,,,,,located
164,,,,,,,,location
165,,,,,,,,sphere
166,,,,,,,,solid
167,,,,,,,,representation
168,,,,,,,,hyperbola
170,,,,,,,,metrevolt
171,,,,,,,,electrontaken
172,,,,,,,,electrostatic
173,,,,,,,,dielectric
174,,,,,,,,creation
175,,,,,,,,inside
176,,,,,,,,strong
177,,,,,,,,due
